2mM_PVP-stock,Water-stock,2mM_TA-stock,2mM_AA-stock,2mM_SN-stock,0.025mM_Seeds-stock
8,233,25,2,14,43
46,174,33,18,18,36
17,183,23,11,45,46
58,153,41,12,19,42
49,141,45,17,27,46
48,151,14,6,49,57
39,142,38,16,33,57
28,162,53,8,21,53
50,157,32,3,48,35
20,207,5,11,58,24
6,217,9,29,25,39
50,148,11,25,48,43
21,177,30,14,42,41
15,166,36,15,35,58
7,213,20,24,25,36
8,228,11,24,30,24
9,252,4,13,39,8
28,184,20,4,33,56
47,157,9,31,27,54
48,173,8,1,41,54
19,172,42,15,22,55
27,171,8,26,54,39
38,160,45,2,28,52
36,154,46,19,28,42
58,148,16,24,25,54
35,180,45,5,23,37
26,188,14,14,25,58
2,223,2,13,51,34
16,207,38,7,24,33
9,186,16,31,40,43
18,179,35,17,20,56
31,178,18,18,48,32
12,248,10,14,12,29
6,167,29,11,58,54
37,161,27,12,48,40
22,154,24,20,51,54
55,147,45,9,23,46
25,208,4,18,36,34
17,217,20,11,40,20
16,204,21,13,31,40
11,236,15,2,10,51
7,234,1,16,36,31
22,212,6,18,41,26
5,240,2,25,30,23
17,243,6,11,30,18
18,235,12,7,46,7
26,183,13,20,49,34
31,185,16,18,35,40
