2mM_PVP-stock,Water-stock,2mM_TA-stock,2mM_AA-stock,2mM_SN-stock,0.025mM_Seeds-stock
33,137,40,4,54,57
27,169,35,7,33,54
41,163,24,2,48,47
33,117,58,6,53,58
25,154,34,5,54,53
57,120,41,6,57,44
53,153,51,4,34,30
19,156,43,6,52,49
54,113,56,5,52,45
34,159,42,6,29,55
30,156,51,8,39,41
46,148,22,2,54,53
57,137,37,9,47,38
49,150,41,4,25,56
26,162,30,4,54,49
28,155,40,8,52,42
23,167,49,6,35,45
50,120,57,11,40,47
24,160,43,5,34,59
52,124,58,4,54,33
55,152,49,4,33,32
54,134,47,4,41,45
43,154,33,2,40,53
54,145,44,3,21,58
42,156,46,6,39,36
59,115,55,13,37,46
49,166,29,4,28,49
29,162,33,7,51,43
19,156,53,8,34,55
29,169,53,5,35,34
55,111,50,13,51,45
31,133,42,10,51,58
30,154,37,10,43,51
51,145,39,3,34,53
52,146,30,6,37,54
46,154,50,7,37,31
48,162,54,4,8,49
30,158,33,1,50,53
34,150,45,9,48,39
21,163,45,2,52,42
53,142,17,2,54,57
57,114,58,2,43,51
26,162,56,4,24,53
34,137,46,13,44,51
33,135,42,12,51,52
8,165,58,2,39,53
31,158,27,1,54,54
48,104,46,15,55,57
