2mM_PVP-stock,Water-stock,2mM_TA-stock,2mM_AA-stock,2mM_SN-stock,0.025mM_Seeds-stock
35,204,5,3,43,35
49,212,14,4,3,43
18,212,13,3,28,51
49,130,46,2,49,49
45,189,10,4,20,57
44,162,38,5,25,51
48,161,3,18,43,52
53,177,38,3,8,46
54,174,30,3,24,40
7,190,33,14,31,50
53,125,15,23,54,55
8,201,12,14,45,45
45,180,17,13,15,55
44,174,28,2,44,33
16,240,9,7,15,38
56,142,35,7,37,48
9,224,19,6,33,34
7,229,3,14,20,52
32,135,35,17,56,50
48,141,32,4,42,58
27,194,15,5,51,33
29,190,23,13,27,43
51,148,45,9,22,50
33,189,10,7,37,49
34,182,12,5,45,47
25,199,23,14,21,43
54,174,10,18,17,52
11,193,22,7,36,56
40,130,45,19,34,57
18,174,5,24,57,47
15,205,29,9,28,39
16,245,6,2,34,22
9,193,16,19,34,54
17,192,7,15,51,43
10,212,17,17,27,42
43,156,25,17,34,50
54,195,13,3,4,56
32,184,17,18,19,55
30,186,46,11,1,51
35,156,32,7,36,59
26,163,38,12,40,46
26,175,6,20,44,54
25,222,18,2,25,33
11,200,13,3,58,40
9,185,34,12,38,47
29,148,34,8,53,53
7,224,27,5,13,49
5,247,5,6,38,24
